"77"	"378116.00"
"3"	"398972.00"
"45"	"407494.00"
"75"	"409512.00"
"78"	"418345.00"
"79"	"421564.00"
"12"	"435462.00"
"21"	"437292.00"
"36"	"441654.00"
"5"	"447020.00"
"88"	"447757.00"
"47"	"447932.00"
"20"	"447942.00"
"23"	"450260.00"
"44"	"451244.00"
"98"	"451635.00"
"48"	"452319.00"
"28"	"453768.00"
"57"	"454878.00"
"74"	"456037.00"
"10"	"457973.00"
"67"	"457993.00"
"13"	"458904.00"
"37"	"459230.00"
"22"	"459825.00"
"11"	"533563.00"
"94"	"534774.00"
"30"	"541705.00"
"35"	"542649.00"
"95"	"543013.00"
"55"	"543990.00"
"9"	"548933.00"
"56"	"549473.00"
"82"	"550388.00"
"33"	"552536.00"
"29"	"553412.00"
"41"	"561524.00"
"16"	"561911.00"
"40"	"566011.00"
"73"	"567210.00"
"70"	"567571.00"
"46"	"569298.00"
"54"	"572736.00"
"63"	"580333.00"
"8"	"584738.00"
"71"	"594044.00"
"39"	"606010.00"
"26"	"606536.00"
"68"	"618634.00"
"2"	"633531.00"
"76"	"460560.00"
"91"	"460568.00"
"27"	"462402.00"
"96"	"463890.00"
"86"	"464467.00"
"17"	"468239.00"
"69"	"468665.00"
"60"	"468812.00"
"83"	"472330.00"
"93"	"472632.00"
"87"	"475035.00"
"18"	"476420.00"
"50"	"476547.00"
"7"	"478187.00"
"14"	"481914.00"
"80"	"481925.00"
"84"	"482006.00"
"90"	"482854.00"
"85"	"482879.00"
"66"	"483189.00"
"19"	"486154.00"
"92"	"494108.00"
"4"	"495268.00"
"52"	"496663.00"
"24"	"499501.00"
"51"	"500367.00"
"65"	"500791.00"
"38"	"505392.00"
"25"	"505979.00"
"53"	"508345.00"
"97"	"510093.00"
"32"	"510310.00"
"61"	"510948.00"
"42"	"513941.00"
"49"	"514040.00"
"34"	"515888.00"
"81"	"516406.00"
"89"	"516783.00"
"6"	"519151.00"
"0"	"519786.00"
"64"	"520340.00"
"99"	"522875.00"
"72"	"524113.00"
"31"	"525703.00"
"58"	"525812.00"
"1"	"526479.00"
"62"	"529583.00"
"43"	"529961.00"
"59"	"530603.00"
"15"	"531736.00"
